ID;Nome;Profissão;Horas semanais;Plantões noturnos;Folgas (Últimos 7 dias);SP_GESTOR;Nome_Municipio;Prontidao (%);Status
515;Camila Santos (Nov);Médico Intensivista;12;2;2;353290;Nova Europa;72.0;🟢 Apto
516;Beatriz Alves (Nov);Técnica de Enfermagem;16;0;1;353290;Nova Europa;81.0;🟢 Apto
517;Gabriel Martins (Iti);Médico Clínico Geral;30;0;2;352360;Itirapina;65.0;🟡 Atenção
518;Carlos Souza (Iti);Enfermeiro;16;1;2;352360;Itirapina;76.0;🟢 Apto
519;Beatriz Alves (Iac);Médico Intensivista;16;0;1;351910;Iacanga;81.0;🟢 Apto
520;Mariana Lima (Iac);Enfermeiro;40;1;1;351910;Iacanga;35.0;🔴 Crítico
521;Ana Silva (São);Médico Clínico Geral;30;0;2;355090;São Simão;65.0;🟡 Atenção
522;Lucas Mendes (São);Médico Clínico Geral;24;0;1;355090;São Simão;69.0;🟡 Atenção
523;Rafael Ribeiro (Pop);Médico Clínico Geral;30;2;2;354040;Populina;45.0;🔴 Crítico
524;Camila Santos (Pop);Médico Intensivista;30;2;0;354040;Populina;35.0;🔴 Crítico
525;Lucas Mendes (Tap);Médico Intensivista;24;2;2;355360;Tapiratiba;54.0;🟡 Atenção
526;Carlos Souza (Tap);Médico Clínico Geral;16;1;2;355360;Tapiratiba;76.0;🟢 Apto
527;Carlos Souza (Jar);Médico Intensivista;24;2;0;352520;Jarinu;44.0;🔴 Crítico
528;Rafael Ribeiro (Jar);Técnica de Enfermagem;44;3;0;352520;Jarinu;4.0;🔴 Crítico
529;Juliana Rocha (Con);Médico Clínico Geral;44;1;0;351230;Conchas;24.0;🔴 Crítico
530;Lucas Mendes (Con);Enfermeiro;24;3;1;351230;Conchas;39.0;🔴 Crítico
531;Beatriz Alves (Sud);Médico Intensivista;40;3;0;355230;Sud Mennucci;10.0;🔴 Crítico
532;Beatriz Alves (Sud);Médico Intensivista;30;0;1;355230;Sud Mennucci;60.0;🟡 Atenção
533;Juliana Rocha (Rin);Enfermeira Coordenadora;30;3;1;354380;Rinópolis;30.0;🔴 Crítico
534;Camila Santos (Rin);Enfermeiro;40;0;2;354380;Rinópolis;50.0;🟡 Atenção
535;Rafael Ribeiro (Bom);Técnica de Enfermagem;24;3;0;350710;Bom Jesus dos Perdões;34.0;🔴 Crítico
536;Carlos Souza (Bom);Enfermeira Coordenadora;12;1;2;350710;Bom Jesus dos Perdões;82.0;🟢 Apto
537;Juliana Rocha (Cac);Médico Clínico Geral;12;3;0;350860;Cachoeira Paulista;52.0;🟡 Atenção
538;Mariana Lima (Cac);Enfermeira Coordenadora;24;3;0;350860;Cachoeira Paulista;34.0;🔴 Crítico
539;Rafael Ribeiro (Pir);Médico Clínico Geral;12;2;2;353940;Piratininga;72.0;🟢 Apto
540;Fernando Costa (Pir);Enfermeiro;16;0;0;353940;Piratininga;76.0;🟢 Apto
541;Carlos Souza (Gál);Médico Clínico Geral;24;1;0;351660;Gália;54.0;🟡 Atenção
542;Fernando Costa (Gál);Técnica de Enfermagem;16;1;0;351660;Gália;66.0;🟡 Atenção
543;Camila Santos (Agu);Médico Clínico Geral;44;1;2;350030;Aguaí;34.0;🔴 Crítico
544;Ana Silva (Agu);Médico Intensivista;36;1;0;350030;Aguaí;36.0;🔴 Crítico
545;Fernando Costa (Bil);Enfermeiro;36;0;0;350640;Bilac;46.0;🔴 Crítico
546;Beatriz Alves (Bil);Enfermeira Coordenadora;24;3;2;350640;Bilac;44.0;🔴 Crítico
547;Mariana Lima (Sal);Enfermeiro;30;1;2;354490;Sales Oliveira;55.0;🟡 Atenção
548;Juliana Rocha (Sal);Médico Intensivista;30;2;2;354490;Sales Oliveira;45.0;🔴 Crítico
549;Fernando Costa (Rio);Médico Intensivista;36;0;1;354420;Riolândia;51.0;🟡 Atenção
550;Fernando Costa (Rio);Enfermeiro;30;2;1;354420;Riolândia;40.0;🔴 Crítico
551;Mariana Lima (Boc);Técnica de Enfermagem;36;3;0;350680;Bocaina;16.0;🔴 Crítico
552;Fernando Costa (Boc);Médico Intensivista;40;0;2;350680;Bocaina;50.0;🟡 Atenção
553;Ana Silva (Tor);Enfermeira Coordenadora;44;2;0;355470;Torrinha;14.0;🔴 Crítico
554;Gabriel Martins (Tor);Enfermeiro;44;3;2;355470;Torrinha;14.0;🔴 Crítico
555;Gabriel Martins (Mor);Médico Intensivista;30;1;0;353200;Morungaba;45.0;🔴 Crítico
556;Camila Santos (Mor);Médico Clínico Geral;30;2;1;353200;Morungaba;40.0;🔴 Crítico
557;Beatriz Alves (Cra);Enfermeiro;44;0;2;351310;Cravinhos;44.0;🔴 Crítico
558;Camila Santos (Cra);Técnica de Enfermagem;40;0;0;351310;Cravinhos;40.0;🔴 Crítico
559;Camila Santos (Mac);Médico Intensivista;40;1;0;352810;Macaubal;30.0;🔴 Crítico
560;Beatriz Alves (Mac);Enfermeiro;44;2;1;352810;Macaubal;19.0;🔴 Crítico
561;Lucas Mendes (Pau);Técnica de Enfermagem;30;2;2;353660;Paulo de Faria;45.0;🔴 Crítico
562;Mariana Lima (Pau);Técnica de Enfermagem;30;3;1;353660;Paulo de Faria;30.0;🔴 Crítico
563;Juliana Rocha (Gua);Médico Intensivista;44;0;0;351760;Guapiara;34.0;🔴 Crítico
564;Beatriz Alves (Gua);Médico Clínico Geral;16;1;1;351760;Guapiara;71.0;🟢 Apto
565;Camila Santos (Jab);Enfermeira Coordenadora;24;2;1;352420;Jaborandi;49.0;🔴 Crítico
566;Gabriel Martins (Jab);Enfermeiro;44;1;2;352420;Jaborandi;34.0;🔴 Crítico
567;Juliana Rocha (Are);Médico Intensivista;40;0;0;350340;Arealva;40.0;🔴 Crítico
568;Carlos Souza (Are);Médico Clínico Geral;16;3;2;350340;Arealva;56.0;🟡 Atenção
569;Lucas Mendes (Apa);Médico Clínico Geral;12;2;1;350260;Aparecida d'Oeste;67.0;🟡 Atenção
570;Camila Santos (Apa);Enfermeira Coordenadora;12;3;2;350260;Aparecida d'Oeste;62.0;🟡 Atenção
571;Ana Silva (Boa);Médico Clínico Geral;36;0;1;350670;Boa Esperança do Sul;51.0;🟡 Atenção
572;Fernando Costa (Boa);Médico Clínico Geral;44;0;2;350670;Boa Esperança do Sul;44.0;🔴 Crítico
573;Gabriel Martins (San);Enfermeira Coordenadora;12;2;1;354790;Santo Antônio da Alegria;67.0;🟡 Atenção
574;Juliana Rocha (San);Médico Intensivista;40;0;2;354790;Santo Antônio da Alegria;50.0;🟡 Atenção
575;Camila Santos (Ter);Médico Clínico Geral;44;0;1;355440;Terra Roxa;39.0;🔴 Crítico
576;Camila Santos (Ter);Enfermeiro;16;2;0;355440;Terra Roxa;56.0;🟡 Atenção
577;Mariana Lima (Nev);Médico Clínico Geral;40;1;0;353250;Neves Paulista;30.0;🔴 Crítico
578;Juliana Rocha (Nev);Médico Clínico Geral;44;0;2;353250;Neves Paulista;44.0;🔴 Crítico
579;Fernando Costa (Bau);Técnica de Enfermagem;12;2;1;350600;Bauru;67.0;🟡 Atenção
580;Fernando Costa (Bau);Enfermeira Coordenadora;16;0;2;350600;Bauru;86.0;🟢 Apto
581;Carlos Souza (Sil);Enfermeiro;40;1;0;355200;Silveiras;30.0;🔴 Crítico
582;Mariana Lima (Sil);Médico Clínico Geral;44;3;2;355200;Silveiras;14.0;🔴 Crítico
583;Beatriz Alves (Ara);Médico Clínico Geral;12;0;2;350310;Arandu;92.0;🟢 Apto
584;Gabriel Martins (Ara);Enfermeiro;36;2;1;350310;Arandu;31.0;🔴 Crítico
585;Rafael Ribeiro (Alt);Médico Clínico Geral;40;2;2;350110;Alto Alegre;30.0;🔴 Crítico
586;Carlos Souza (Alt);Enfermeira Coordenadora;30;2;2;350110;Alto Alegre;45.0;🔴 Crítico
587;Gabriel Martins (Col);Enfermeira Coordenadora;12;0;2;351210;Colômbia;92.0;🟢 Apto
588;Mariana Lima (Col);Enfermeira Coordenadora;16;3;2;351210;Colômbia;56.0;🟡 Atenção
